City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Bambanglipuro,ID,-7.95,110.28,80.92,78,100,10.45,light rain
344,Tsiroanomandidy,MG,-18.77,46.03,85.19,34,61,2.68,broken clouds
345,Kampong Chhnang,KH,12.17,104.55,85.05,71,100,10.67,moderate rain
346,Chunoyar,RU,57.45,97.32,34.45,94,100,3.56,light rain
347,Sao Filipe,CV,14.9,-24.5,79.65,78,100,10.54,overcast clouds
348,Aqtobe,KZ,50.28,57.21,33.8,64,75,24.61,broken clouds
349,Manzhouli,CN,49.6,117.43,30.52,78,0,19.26,clear sky
350,Chebenki,RU,51.93,55.71,35.6,64,75,22.37,broken clouds
351,Qasigiannguit,GL,68.82,-51.19,21.2,79,90,5.82,overcast clouds
352,Margate,GB,51.38,1.39,51.01,89,79,3.0,broken clouds
353,Takoradi,GH,4.88,-1.76,80.01,85,43,8.72,scattered clouds
354,Kavieng,PG,-2.57,150.8,83.91,59,0,2.04,clear sky
355,Cochabamba,BO,-17.39,-66.16,55.4,93,40,1.59,scattered clouds
356,Hamilton,US,39.18,-84.53,46.99,93,90,3.36,overcast clouds
357,Longyearbyen,SJ,78.22,15.64,30.2,80,75,5.82,broken clouds
358,La Palma,US,33.85,-118.05,57.2,20,90,4.18,smoke
359,Mandalgovi,MN,45.76,106.27,41.83,47,0,12.03,clear sky
360,Kande,TG,9.96,1.04,78.8,47,25,6.93,scattered clouds
361,Hongjiang,CN,27.11,110.0,73.35,61,52,5.17,broken clouds
